CPD_ID Active
842249 1
842662 1
842840 1
843993 1
844054 1
844117 1
844482 1
844849 1
845529 1
846747 1
846972 1
847082 1
847263 1
847487 1
847543 1
847705 1
847709 1
848054 1
848104 1
848222 1
849007 1
849203 1
849843 1
850065 1
851214 1
851284 1
851744 1
852615 1
852874 1
853497 1
853662 1
855738 1
856651 1
856963 1
857211 1
857306 1
857541 1
858049 1
858184 1
860191 1
860867 1
860891 1
861634 1
862211 1
862861 1
863122 1
863149 1
863195 1
863458 1
863504 1
863565 1
863573 1
864048 1
864125 1
864178 1
864662 1
865066 1
865114 1
865148 1
865499 1
865643 1
865665 1
866012 1
3711143 1
3712148 1
3712180 1
3712363 1
3712502 1
3714620 1
3714792 1
3714847 1
3716390 1
3716566 1
3716781 1
3716840 1
3717079 1
3717621 1
4237489 1
4237650 1
4237693 1
4237782 1
4237893 1
4237894 1
4237982 1
4238352 1
4238570 1
4238613 1
4238703 1
4238823 1
4238912 1
4238995 1
4239158 1
4239639 1
4239728 1
4239733 1
4239812 1
4239975 1
4240052 1
4240080 1
4240127 1
4240359 1
4240388 1
4240428 1
4240441 1
4240776 1
4242113 1
4243448 1
4244257 1
4245120 1
4245640 1
4246520 1
4246894 1
4246956 1
4247329 1
4247871 1
4248270 1
4248657 1
4249343 1
4249967 1
4250862 1
4251843 1
4252152 1
4254526 1
4254538 1
4254847 1
4254968 1
4255018 1
4255415 1
4255494 1
4255618 1
4255916 1
4256024 1
4256130 1
4256524 1
4256627 1
4257325 1
4257892 1
4258176 1
4258273 1
4258517 1
4259020 1
4259339 1
4259947 1
4260201 1
4260365 1
4260369 1
4260521 1
4260842 1
4261615 1
4262147 1
4262177 1
4262191 1
4262250 1
4262305 1
4262721 1
4262964 1
4263161 1
4263662 1
4264171 1
4264603 1
4264809 1
4264952 1
4265668 1
7964813 1
7965065 1
7965256 1
7965288 1
7965350 1
7965363 1
7965439 1
7965449 1
7965514 1
7965627 1
7965851 1
7966248 1
7966454 1
7966762 1
7967348 1
7967862 1
7967976 1
7968265 1
7968590 1
7968933 1
7968944 1
7968963 1
7969006 1
7969198 1
7969306 1
7972032 1
7972195 1
7972602 1
7973303 1
7973654 1
7973677 1
7973809 1
7973963 1
7973974 1
7973991 1
7974352 1
7974582 1
7974896 1
7974951 1
7975256 1
7975642 1
7976181 1
7977413 1
7977467 1
7977561 1
7977894 1
7978261 1
11111230 1
11113674 1
11113912 1
11113917 1
11113946 1
11114091 1
11114107 1
11114148 1
11114225 1
17385033 1
17385380 1
17389312 1
26749249 1
26749352 1
26750047 1
26750065 1
26753180 1
26753183 1
26753199 1
26753276 1
26754187 1
26754450 0
26754448 0
26754445 0
26754444 0
26754442 0
26754441 0
26754440 0
26754437 0
26754436 0
26754427 0
26754424 0
26754421 0
26754418 0
26754417 0
26754415 0
26754400 0
26754395 0
26754393 0
26754390 0
26754389 0
26754388 0
26754385 0
26754384 0
26754382 0
26754380 0
26754379 0
26754376 0
26754375 0
26754374 0
26754370 0
26754366 0
26754361 0
26754360 0
26754357 0
26754356 0
26754355 0
26754353 0
26754352 0
26754350 0
26754348 0
26754343 0
26754342 0
26754341 0
26754338 0
26754334 0
26754333 0
26754332 0
26754327 0
26754325 0
26754324 0
26754321 0
26754320 0
26754319 0
26754314 0
26754312 0
26754311 0
26754310 0
26754303 0
26754297 0
26754295 0
26754293 0
26754286 0
26754285 0
26754284 0
26754283 0
26754281 0
26754279 0
26754277 0
26754275 0
26754273 0
26754270 0
26754269 0
26754268 0
26754266 0
26754265 0
26754264 0
26754263 0
26754262 0
26754260 0
26754258 0
26754256 0
26754255 0
26754253 0
26754251 0
26754250 0
26754249 0
26754248 0
26754247 0
26754245 0
26754244 0
26754243 0
26754235 0
26754234 0
26754231 0
26754229 0
26754227 0
26754224 0
26754221 0
26754219 0
26754217 0
26754215 0
26754214 0
26754213 0
26754212 0
26754209 0
26754207 0
26754206 0
26754205 0
26754204 0
26754203 0
26754202 0
26754201 0
26754200 0
26754198 0
26754197 0
26754195 0
26754191 0
26754190 0
26754189 0
26754188 0
26754182 0
26754181 0
26754180 0
26754178 0
26754177 0
26754176 0
26754175 0
26754174 0
26754173 0
26754172 0
26754170 0
26754168 0
26754164 0
26754163 0
26754158 0
26754155 0
26754151 0
26754147 0
26754144 0
26754142 0
26754141 0
26754139 0
26754138 0
26754137 0
26754135 0
26754134 0
26754133 0
26754129 0
26754128 0
26754124 0
26754120 0
26754119 0
26754118 0
26754117 0
26754116 0
26754115 0
26754113 0
26754112 0
26754111 0
26754110 0
26754109 0
26754108 0
26754107 0
26754105 0
26754103 0
26754102 0
26754101 0
26754100 0
26754099 0
26754097 0
26754096 0
26754095 0
26754094 0
26754093 0
26754092 0
26754091 0
26754090 0
26754089 0
26754088 0
26754087 0
26754086 0
26754084 0
26754083 0
26754082 0
26754080 0
26754078 0
26754076 0
26754075 0
26754074 0
26754072 0
26754071 0
26754069 0
26754067 0
26754066 0
26754065 0
26754064 0
26754063 0
26754061 0
26754060 0
26754057 0
26754056 0
26754055 0
26754054 0
26754053 0
26754052 0
26754049 0
26754047 0
26754043 0
26754042 0
26754041 0
26754040 0
26754038 0
26754036 0
26754035 0
26754032 0
26754031 0
26754030 0
26754029 0
26754027 0
26754024 0
26754022 0
26754018 0
26754017 0
26754016 0
26754015 0
26754013 0
26754012 0
26754011 0
26754008 0
26754007 0
26754006 0
26754005 0
26754004 0
26754003 0
26753987 0
26753979 0
26753973 0
26753951 0
26753948 0
26753937 0
26753922 0
26753921 0
26753920 0
26753916 0
26753915 0
26753913 0
26753912 0
26753908 0
26753905 0
26753903 0
26753902 0
26753897 0
26753896 0
26753893 0
26753891 0
26753890 0
26753888 0
26753887 0
26753885 0
26753883 0
26753882 0
26753881 0
26753879 0
26753878 0
26753876 0
26753875 0
26753874 0
26753873 0
26753872 0
26753871 0
26753867 0
26753866 0
26753865 0
26753863 0
26753862 0
26753861 0
26753858 0
26753857 0
26753856 0
26753855 0
26753854 0
26753853 0
26753852 0
26753850 0
26753848 0
26753846 0
26753845 0
26753841 0
26753837 0
26753836 0
26753835 0
26753831 0
26753830 0
26753829 0
26753827 0
26753826 0
26753825 0
26753824 0
26753823 0
26753821 0
26753819 0
26753818 0
26753817 0
26753815 0
26753814 0
26753813 0
26753812 0
26753810 0
26753809 0
26753807 0
26753805 0
26753804 0
26753802 0
26753801 0
26753800 0
26753798 0
26753797 0
26753796 0
26753795 0
26753794 0
26753793 0
26753792 0
26753781 0
26753777 0
26753774 0
26753768 0
26753765 0
26753761 0
26753760 0
26753754 0
26753747 0
26753745 0
26753744 0
26753737 0
26753734 0
26753728 0
26753726 0
26753723 0
26753676 0
26753669 0
26753651 0
26753635 0
26753634 0
26753629 0
26753614 0
26753610 0
26753609 0
26753603 0
26753596 0
26753589 0
26753587 0
26753580 0
26753548 0
26753508 0
26753304 0
26753302 0
26753301 0
26753300 0
26753296 0
26753283 0
26753282 0
26753281 0
26753275 0
26753273 0
26753267 0
26753261 0
26753257 0
26753256 0
26753254 0
26753251 0
26753246 0
26753245 0
26753238 0
26753231 0
26753229 0
26753227 0
26753225 0
26753224 0
26753223 0
26753220 0
26753217 0
26753213 0
26753212 0
26753210 0
26753209 0
26753207 0
26753203 0
26753201 0
26753200 0
26753197 0
26753196 0
26753195 0
26753193 0
26753192 0
26753187 0
26753182 0
26753181 0
26753179 0
26753178 0
26753171 0
26753166 0
26753163 0
26753159 0
26753158 0
26753140 0
26753139 0
26752732 0
26752731 0
26752730 0
26752729 0
26752728 0
26752725 0
26752724 0
26752722 0
26752719 0
26752718 0
26752713 0
26752712 0
26752707 0
26752706 0
26752704 0
26752702 0
26752699 0
26752698 0
26752697 0
26752696 0
26752692 0
26752690 0
26752689 0
26752688 0
26752686 0
26752683 0
26752681 0
26752680 0
26752678 0
26752677 0
26752675 0
26752674 0
26752673 0
26752670 0
26752669 0
26752668 0
26752667 0
26752666 0
26752665 0
26752664 0
26752655 0
26752654 0
26752653 0
26752651 0
26752648 0
26752647 0
26752645 0
26752643 0
26752642 0
26752640 0
26752639 0
26752638 0
26752637 0
26752635 0
26752634 0
26752631 0
26752630 0
26752629 0
26752627 0
26752623 0
26752620 0
26752619 0
26752618 0
26752617 0
26752615 0
26752613 0
26752612 0
26752610 0
26752609 0
26752608 0
26752607 0
26752606 0
26752605 0
26752604 0
26752602 0
26752600 0
26752594 0
26752592 0
26752591 0
26752589 0
26752587 0
26752586 0
26752584 0
26752580 0
26752578 0
26752577 0
26752575 0
26752573 0
26752571 0
26752570 0
26752569 0
26752568 0
26752565 0
26752564 0
26752563 0
26752561 0
26752559 0
26752558 0
26752557 0
26752556 0
26752555 0
26752553 0
26752549 0
26752548 0
26752545 0
26752544 0
26752543 0
26752540 0
26752539 0
26752538 0
26752537 0
26752536 0
26752535 0
26752534 0
26752532 0
26752530 0
26752525 0
26752522 0
26752521 0
26752520 0
26752519 0
26752517 0
26752516 0
26752515 0
26752511 0
26752507 0
26752506 0
26752505 0
26752504 0
26752503 0
26752502 0
26752500 0
26752499 0
26752497 0
26752496 0
26752495 0
26752494 0
26752492 0
26752488 0
26752486 0
26752484 0
26752482 0
26752481 0
26752479 0
26752477 0
26752474 0
26752473 0
26752472 0
26752471 0
26752470 0
26752469 0
26752466 0
26752464 0
26752463 0
26752457 0
26752455 0
26752454 0
26752453 0
26752447 0
26752445 0
26752444 0
26752442 0
26752440 0
26752439 0
26752438 0
26752437 0
26752436 0
26752431 0
26752430 0
26752427 0
26752421 0
26752420 0
26752415 0
26752412 0
26752411 0
26752410 0
26752409 0
26752408 0
26752407 0
26752406 0
26752405 0
26752403 0
26752396 0
26752395 0
26752392 0
26752391 0
26752390 0
26752389 0
26752388 0
26752387 0
26752386 0
26752384 0
26752382 0
26752381 0
26752378 0
26752376 0
26752373 0
26752372 0
26752371 0
26752370 0
26752369 0
26752368 0
26752367 0
26752364 0
26752363 0
26752362 0
26752359 0
26752358 0
26752356 0
26752355 0
26752354 0
26752353 0
26752352 0
26752346 0
26752342 0
26752341 0
26752340 0
26752338 0
26752336 0
26752335 0
26752334 0
26752333 0
26752332 0
26752331 0
26752330 0
26752329 0
26751587 0
26751439 0
26751438 0
26751437 0
26751436 0
26751435 0
26751434 0
26751433 0
26751431 0
26751430 0
26751428 0
26751426 0
26751425 0
26751424 0
26751423 0
26751422 0
26751421 0
26751417 0
26751416 0
26751415 0
26751414 0
26751413 0
26751412 0
26751411 0
26751410 0
26751409 0
26751407 0
26751406 0
26751405 0
26751404 0
26751403 0
26751402 0
26751401 0
26751399 0
26751398 0
26751397 0
26751396 0
26751395 0
26751394 0
26751392 0
26751391 0
26751390 0
26751388 0
26751386 0
26751385 0
26751384 0
26751382 0
26751381 0
26751380 0
26751379 0
26751378 0
26751377 0
26751376 0
26751375 0
26751374 0
26751370 0
26751368 0
26751365 0
26751363 0
26751362 0
26751360 0
26751357 0
26751356 0
26751354 0
26751353 0
26751351 0
26751349 0
26751347 0
26751345 0
26751344 0
26751343 0
26751342 0
26751341 0
26751340 0
26751339 0
26751338 0
26751336 0
26751335 0
26751334 0
26751333 0
26751331 0
26751329 0
26751327 0
26751326 0
